_date,total_views,unique_views
2023-11-24,7,3
2023-11-25,2,2
2023-11-26,1,1
2023-11-27,60,7
2023-11-28,4,3
2023-11-29,7,4
2023-11-30,9,6
2023-12-01,11,5
2023-12-02,10,4
2023-12-04,65,10
2023-12-05,8,5
2023-12-06,67,4
2023-12-07,26,6
2023-12-08,36,7
2023-12-10,3,2
2023-12-11,10,6
2023-12-12,41,8
2023-12-13,12,7
2023-12-14,34,7
2023-12-15,4,3
2023-12-17,1,1
2023-12-18,25,6
2023-12-19,23,5
2023-12-20,2,2
2023-12-21,23,4
2023-12-22,21,6
2023-12-23,7,2
2023-12-24,3,1
2023-12-26,30,2
2023-12-27,3,2
2023-12-28,5,4
2023-12-29,2,2
2024-01-02,47,2
2024-01-03,7,5
2024-01-04,24,5
2024-01-05,8,5
2024-01-06,8,3
2024-01-08,57,4
2024-01-09,24,3
2024-01-10,3,2
2024-01-11,17,4
2024-01-12,13,4
2024-01-13,1,1
2024-01-14,1,1
2024-01-15,3,2
2024-01-16,40,7
2024-01-17,10,2
2024-01-18,9,3
2024-01-19,2,1
2024-01-22,21,7
2024-01-23,5,3
2024-01-24,87,7
2024-01-25,57,11
2024-01-26,81,7
2024-01-29,9,5
2024-01-30,24,6
2024-01-31,33,8
2024-02-01,23,5
2024-02-02,45,5
2024-02-03,1,1
2024-02-04,16,1
2024-02-05,33,7
2024-02-06,15,6
2024-02-07,31,7
2024-02-08,24,9
2024-02-09,23,5
2024-02-11,2,1
2024-02-12,7,4
2024-02-13,1,1
2024-02-14,26,9
2024-02-15,22,4
2024-02-16,13,8
2024-02-18,1,1
2024-02-19,8,3
2024-02-20,24,6
2024-02-21,8,5
2024-02-22,17,6
2024-02-23,1,1
2024-02-25,21,3
2024-02-26,51,9
2024-02-27,4,4
2024-02-28,72,14
2024-02-29,49,5
2024-03-01,76,10
2024-03-02,14,3
2024-03-03,15,2
2024-03-04,7,3
2024-03-05,41,8
2024-03-07,5,2
2024-03-08,2,1
2024-03-10,1,1
2024-03-11,3,3
2024-03-12,1,1
2024-03-13,24,2
2024-03-14,16,4
2024-03-15,8,4
2024-03-16,4,2
2024-03-18,59,8
2024-03-19,16,4
2024-03-20,44,6
2024-03-21,3,3
2024-03-22,4,1
2024-03-24,3,1
2024-03-25,6,1
2024-03-26,40,4
2024-03-27,6,3
2024-03-28,39,7
2024-03-29,1,1
2024-03-30,3,1
2024-03-31,1,1
2024-04-02,4,2
2024-04-03,7,5
2024-04-04,23,9
2024-04-05,95,7
2024-04-06,3,1
2024-04-08,25,4
2024-04-09,25,5
2024-04-10,8,3
2024-04-11,25,9
2024-04-12,34,4
2024-04-15,5,1
2024-04-16,16,7
2024-04-17,14,2
2024-04-18,13,5
2024-04-19,30,4
2024-04-22,3,3
2024-04-23,6,4
2024-04-24,48,7
2024-04-25,5,4
2024-04-26,7,5
2024-04-27,1,1
2024-04-28,3,3
2024-04-29,13,3
2024-04-30,2,2
2024-05-01,33,6
2024-05-02,5,3
2024-05-03,63,2
2024-05-05,1,1
2024-05-07,24,5
2024-05-08,32,13
2024-05-09,42,6
2024-05-10,10,2
2024-05-12,19,1
2024-05-13,23,3
2024-05-14,12,5
2024-05-15,17,7
2024-05-16,14,4
2024-05-17,19,6
2024-05-19,16,3
2024-05-20,10,3
2024-05-21,114,4
2024-05-22,36,6
2024-05-23,19,5
2024-05-24,8,2
2024-05-25,3,3
2024-05-26,1,1
2024-05-28,52,5
2024-05-29,25,5
2024-05-30,117,8
2024-05-31,7,5
2024-06-03,35,10
2024-06-04,7,4
2024-06-05,21,7
2024-06-06,4,4
2024-06-07,8,7
2024-06-09,3,2
2024-06-10,24,5
2024-06-11,7,5
2024-06-12,31,6
2024-06-13,12,6
2024-06-14,1,1
2024-06-16,2,2
2024-06-17,6,4
2024-06-18,9,3
2024-06-19,3,2
2024-06-21,14,3
2024-06-23,5,2
2024-06-24,9,4
2024-06-25,10,5
2024-06-26,12,2
2024-06-27,13,4
2024-06-28,6,3
2024-06-29,1,1
2024-06-30,2,2
